municipio,departamento,lat,lon
Abejorral,Antioquia,5.7905555555556,-75.426944444444
Abrego,Norte De Santander,8.0775,-73.219166666667
Abriaqui,Antioquia,6.6316666666667,-76.063888888889
Acacias,Meta,3.9888888888889,-73.764722222222
Acandi,Choco,8.5113888888889,-77.277777777778
Acevedo,Huila,1.8047222222222,-75.889722222222
Achi,Bolivar,8.5691666666667,-74.556111111111
Agrado,Huila,2.2583305555556,-75.7725
Agua de Dios,Cundinamarca,4.3780555555556,-74.668333333333
Aguachica,Cesar,8.3066666666667,-73.615277777778
Aguada,Santander,6.1625,-73.521666666667
Aguadas,Caldas,5.6091666666667,-75.456388888889
Aguazul,Casanare,5.1688888888889,-72.546666666667
Agustin Codazzi,Cesar,10.036666666667,-73.236944444444
Aipe,Huila,3.2219444444444,-75.2375
Alban,Cundinamarca,4.8783333333333,-74.438333333333
Alban,Nariño,1.4738888888889,-77.080833333333
Albania,Caqueta,1.3288888888889,-75.878333333333
Albania,La Guajira,11.160833333333,-72.592222222222
Albania,Santander,5.7588888888889,-73.913333333333
Alcala,Valle,4.6736111111111,-75.7825
Aldana,Nariño,0.88222222222222,-77.700555555556
Alejandria,Antioquia,6.3772222222222,-75.141111111111
Algarrobo,Magdalena,10.188611111111,-74.06
Algeciras,Huila,2.5219444444444,-75.314444444444
Almaguer,Cauca,1.9130555555556,-76.856111111111
Almeida,Boyaca,4.9705555555556,-73.378611111111
Alpujarra,Tolima,3.3916666666667,-74.932777777778
Altamira,Huila,2.0633333333333,-75.787777777778
Alto Baudo (Pie de Pato),Choco,5.5152777777778,-76.974722222222
Altos del Rosario,Bolivar,8.7913888888889,-74.163611111111
Alvarado,Tolima,4.5672222222222,-74.953333333333
Amaga,Antioquia,6.0383333333333,-75.702777777778
Amalfi,Antioquia,6.9091666666667,-75.076666666667
Ambalema,Tolima,4.7816666666667,-74.763888888889
Anapoima,Cundinamarca,4.5502777777778,-74.536111111111
Ancuya,Nariño,1.2633333333333,-77.515
Andalucia,Valle,4.1708333333333,-76.165
Andes,Antioquia,5.6555555555556,-75.880277777778
Angelopolis,Antioquia,6.1116666666667,-75.71
Angostura,Antioquia,6.8852777777778,-75.335277777778
Anolaima,Cundinamarca,4.7633333333333,-74.464722222222
Anori,Antioquia,7.0736111111111,-75.146944444444
Anserma,Caldas,5.238092,-75.784042
Ansermanuevo,Valle,4.7969444444444,-75.993055555556
Anza,Antioquia,6.3036111111111,-75.854166666667
Anzoategui,Tolima,4.6302777777778,-75.094722222222
Apartado,Antioquia,7.8847222222222,-76.635
Apia,Risaralda,5.1052777777778,-75.943333333333
Apulo,Cundinamarca,4.5208333333333,-74.598611111111
Aquitania (Puebloviejo),Boyaca,5.5194444444444,-72.883611111111
Aracataca,Magdalena,10.591111111111,-74.185
Aranzazu,Caldas,5.2713888888889,-75.490833333333
Aratoca,Santander,6.6955555555556,-73.0175
Arauca,Arauca,7.0902777777778,-70.761666666667
Arauquita,Arauca,7.0261111111111,-71.427222222222
Arbelaez,Cundinamarca,4.2722222222222,-74.415555555556
Arboleda (Berruecos),Nariño,1.5030555555556,-77.135833333333
Arboledas,Norte De Santander,7.6427777777778,-72.798333333333
Arboletes,Antioquia,8.8511111111111,-76.427222222222
Arcabuco,Boyaca,5.7544444444444,-73.4375
Arenal,Bolivar,8.4588888888889,-73.941388888889
Argelia,Antioquia,5.7319444444444,-75.141944444444
Argelia,Cauca,2.2558333333333,-77.249166666667
Argelia,Valle,4.7261111111111,-76.121666666667
Ariguani (El Dificil),Magdalena,9.8469444444444,-74.236666666667
Arjona,Bolivar,10.255,-75.344722222222
Armenia,Antioquia,6.1563888888889,-75.785833333333
Armenia,Quindio,4.5388888888889,-75.6725
Armero,Tolima,4.96500,-74.90500
Arroyohondo,Bolivar,10.249444444444,-75.019444444444
Astrea,Cesar,9.4969444444444,-73.976111111111
Ataco,Tolima,3.5897222222222,-75.382222222222
Atrato (Yuto),Choco,5.5322222222222,-76.636388888889
Ayapel,Cordoba,8.3125,-75.145
Bagado,Choco,5.4102777777778,-76.415833333333
Bahia Solano (Mutis),Choco,6.2241666666667,-77.403888888889
Bajo Baudo (Pizarro),Choco,4.9541666666667,-77.363611111111
Balboa,Cauca,2.0405555555556,-77.216388888889
Balboa,Risaralda,4.9494444444444,-75.957222222222
Baranoa,Atlantico,10.795555555556,-74.919444444444
Baraya,Huila,3.1530555555556,-75.0525
Barbacoas,Nariño,1.6716666666667,-78.137777777778
Barbosa,Antioquia,6.4375,-75.330555555556
Barbosa,Santander,5.9330555555556,-73.614722222222
Barichara,Santander,6.6361111111111,-73.223611111111
Barranca de Upia,Meta,4.5647222222222,-72.9625
Barrancabermeja,Santander,7.0675,-73.847222222222
Barrancas,La Guajira,10.955833333333,-72.791944444444
Barranco de Loba,Bolivar,8.9455555555556,-74.105833333333
Barranco Minas,Guainia,3.49,-69.812222222222
Barranquilla,Atlantico,10.963888888889,-74.796388888889
Becerril,Cesar,9.7030555555556,-73.2775
Belalcazar,Caldas,4.9936111111111,-75.811944444444
Belen,Boyaca,5.9894444444444,-72.912222222222
Belen,Nariño,1.5952777777778,-77.015833333333
Belen de los Andaquies,Caqueta,1.4163611111111,-75.872722222222
Belen de Umbria,Risaralda,5.2005555555556,-75.868888888889
Bello,Antioquia,6.3319444444444,-75.558055555556
Belmira,Antioquia,6.605,-75.665833333333
Beltran,Cundinamarca,4.8013888888889,-74.743055555556
Berbeo,Boyaca,5.2266666666667,-73.126666666667
Betania,Antioquia,5.7347222222222,-75.979166666667
Beteitiva,Boyaca,5.9111111111111,-72.808333333333
Betulia,Antioquia,6.1122222222222,-75.983888888889
Betulia,Santander,6.9,-73.283611111111
Bituima,Cundinamarca,4.8744444444444,-74.540555555556
Boavita,Boyaca,6.3308333333333,-72.584166666667
Bochalema,Norte De Santander,7.6113888888889,-72.647222222222
Bogota D.C.,Cundinamarca,4.5988888888889,-74.080833333333
Bojaca,Cundinamarca,4.7336111111111,-74.342222222222
Bojaya (Bellavista),Choco,6.5236111111111,-76.974444444444
Bolivar,Antioquia,5.8494444444444,-76.020277777778
Bolivar,Cauca,1.8358333333333,-76.966388888889
Bolivar,Santander,5.991,-73.774
Bolivar,Valle,4.3386111111111,-76.184722222222
Bosconia,Cesar,9.9761111111111,-73.8903
Boyaca,Boyaca,5.4541666666667,-73.361944444444
Briceño,Antioquia,7.1105555555556,-75.551111111111
Briceño,Boyaca,5.6913888888889,-73.922222222222
Bucaramanga,Santander,7.1186111111111,-73.116111111111
Bucarasica,Norte De Santander,8.0411111111111,-72.8675
Buenaventura,Valle,3.8772222222222,-77.026666666667
Buenavista,Boyaca,5.5113888888889,-73.941944444444
Buenavista,Cordoba,8.2233333333333,-75.481666666667
Buenavista,Quindio,4.3597222222222,-75.739166666667
Buenavista,Sucre,9.3197222222222,-74.971666666667
Buenos Aires,Cauca,3.0163888888889,-76.641111111111
Buenos Aires,Vaupes,0.021388888888889,-71.005555555556
Buesaco,Nariño,1.3847222222222,-77.156388888889
Buga,Valle,3.9036111111111,-76.298611111111
Bugalagrande,Valle,4.2075,-76.1575
Buritica,Antioquia,6.72,-75.9075
Busbanza,Boyaca,5.8302777777778,-72.884166666667
Cabrera,Cundinamarca,3.9780555555556,-74.485833333333
Cabrera,Santander,6.5933333333333,-73.247777777778
Cabuyaro,Meta,4.2858333333333,-72.791388888889
Cacahual,Guainia,3.5252777777778,-67.415833333333
Caceres,Antioquia,7.5794444444444,-75.350277777778
Cachipay,Cundinamarca,4.731363,-74.4365
Cachira,Norte De Santander,7.7408333333333,-73.048611111111
Cacota,Norte De Santander,7.2677777777778,-72.641666666667
Caicedo,Antioquia,6.4069444444444,-75.985277777778
Caicedonia,Valle,4.3347222222222,-75.828055555556
Caimito,Sucre,8.7894444444444,-75.116111111111
Cajamarca,Tolima,4.436672,-75.42783
Cajibio,Cauca,2.6233333333333,-76.573055555556
Cajica,Cundinamarca,4.9166666666667,-74.025
Calamar,Bolivar,10.25,-74.915833333333
Calamar,Guaviare,1.9611111111111,-72.652777777778
Calarca,Quindio,4.5291666666667,-75.640833333333
Caldas,Antioquia,6.0886111111111,-75.636111111111
Caldas,Boyaca,5.5541666666667,-73.865555555556
Caldono,Cauca,2.7969444444444,-76.482777777778
Cali,Valle,3.44,-76.519722222222
California,Santander,7.3477777777778,-72.945555555556
Calima,Valle,3.9311111111111,-76.486388888889
Caloto,Cauca,3.0355555555556,-76.407777777778
Campamento,Antioquia,6.9791666666667,-75.295833333333
Campo de la Cruz,Atlantico,10.377777777778,-74.881388888889
Campoalegre,Huila,2.6866666666667,-75.325555555556
Campohermoso,Boyaca,5.0311111111111,-73.103333333333
Canalete,Cordoba,8.79,-76.2411
Cañasgordas,Antioquia,6.7497222222222,-76.025833333333
Candelaria,Atlantico,10.459166666667,-74.880555555556
Candelaria,Valle,3.4097222222222,-76.347777777778
Cantagallo,Bolivar,7.3761111111111,-73.915277777778
Caparrapi,Cundinamarca,5.3441666666667,-74.491666666667
Capitanejo,Santander,6.5302777777778,-72.697777777778
Caqueza,Cundinamarca,4.4052777777778,-73.947777777778
Caracoli,Antioquia,6.4072222222222,-74.756666666667
Caramanta,Antioquia,5.5466666666667,-75.644166666667
Carcasi,Santander,6.6277777777778,-72.625833333333
Carepa,Antioquia,7.7580555555556,-76.655277777778
Carmen de Apicala,Tolima,4.1477777777778,-74.718611111111
Carmen de Carupa,Cundinamarca,5.3502777777778,-73.901388888889
Carmen de Viboral,Antioquia,6.0819444444444,-75.334166666667
Carmen del Darien,Choco,7.1577777777778,-76.970833333333
Carolina,Antioquia,6.7227777777778,-75.2825
Cartagena,Bolivar,10.423611111111,-75.525277777778
Cartagena del Chaira,Caqueta,1.3361111111111,-74.846666666667
Cartago,Valle,4.7469444444444,-75.911944444444
Caruru,Vaupes,1.0133333333333,-71.3
Casabianca,Tolima,5.0791666666667,-75.12
Castilla la Nueva,Meta,3.8258333333333,-73.687222222222
Caucasia,Antioquia,7.9847222222222,-75.198055555556
Cepita,Santander,6.7527777777778,-72.973333333333
Cerete,Cordoba,8.8866666666667,-75.791111111111
Cerinza,Boyaca,5.9563888888889,-72.946944444444
Cerrito,Santander,6.8425,-72.694166666667
Cerro San Antonio,Magdalena,10.325,-74.868055555556
Certegui,Choco,5.3711111111111,-76.606111111111
Chachagui,Nariño,1.360562,-77.283411
Chaguani,Cundinamarca,4.9486111111111,-74.593611111111
Chalan,Sucre,9.5438888888889,-75.3125
Chameza,Casanare,5.2147222222222,-72.869722222222
Chaparral,Tolima,3.7236111111111,-75.484722222222
Charala,Santander,6.2875,-73.146666666667
Charta,Santander,7.2805555555556,-72.968611111111
Chia,Cundinamarca,4.8633333333333,-74.052777777778
Chigorodo,Antioquia,7.6697222222222,-76.681388888889
Chima,Cordoba,9.1488888888889,-75.628888888889
Chima,Santander,6.3438888888889,-73.372222222222
Chimichagua,Cesar,9.2577777777778,-73.813333333333
