municipio,departamento,lat,lon
Polonuevo,Atlantico,10.777222222222,-74.852777777778
Ponedera,Atlantico,10.641944444444,-74.753055555556
Popayan,Cauca,2.4591666666667,-76.600277777778
Pore,Casanare,5.7275,-71.993055555556
Potosi,Nariño,0.80805555555556,-77.572777777778
Pradera,Valle,3.4188888888889,-76.243888888889
Prado,Tolima,3.7488888888889,-74.928055555556
Providencia,Nariño,1.2388888888889,-77.5975
Providencia,San Andres,12.55,-81.716666666667
Pueblo Bello,Cesar,10.416388888889,-73.586666666667
Pueblo Nuevo,Cordoba,38.3026178,-5.2714828
Pueblo Rico,Risaralda,5.2225,-76.029444444444
Pueblorrico,Antioquia,5.7905555555556,-75.840555555556
Puebloviejo,Magdalena,10.994166666667,-74.283333333333
Puente Nacional,Santander,5.8772222222222,-73.678611111111
Puerres,Nariño,0.88388888888889,-77.503888888889
Puerto Alegria,Amazonas,-1.0055555555556,-74.015
Puerto Arica,Amazonas,-2.1480555555556,-71.753333333333
Puerto Asis,Putumayo,0.50055555555556,-76.498888888889
Puerto Berrio,Antioquia,6.4905555555556,-74.404722222222
Puerto Boyaca,Boyaca,5.9761111111111,-74.5875
Puerto Caicedo,Putumayo,0.685,-76.604444444444
Puerto Carreño,Vichada,6.1888888888889,-67.485833333333
Puerto Colombia,Atlantico,10.992222222222,-74.952777777778
Puerto Colombia,Guainia,2.7202805555556,-67.5644
Puerto Concordia,Meta,2.6233333333333,-72.759166666667
Puerto Escondido,Cordoba,9.0191666666667,-76.261388888889
Puerto Gaitan,Meta,4.3141694444444,-72.0825
Puerto Guzman,Putumayo,0.96361111111111,-76.408611111111
Puerto Leguizamo,Putumayo,-0.19388888888889,-74.780555555556
Puerto Libertador,Cordoba,7.8880555555556,-75.671666666667
Puerto Lleras,Meta,3.2691666666667,-73.376111111111
Puerto Lopez,Meta,4.0897222222222,-72.961944444444
Puerto Nare,Antioquia,6.1844444444444,-74.583611111111
Puerto Nariño,Amazonas,-3.7702777777778,-70.383055555556
Puerto Parra,Santander,6.6513888888889,-74.056944444444
Puerto Rico,Caqueta,1.9075,-75.158333333333
Puerto Rico,Meta,2.9383333333333,-73.208333333333
Puerto Rondon,Arauca,6.28,-71.100277777778
Puerto Salgar,Cundinamarca,5.4652777777778,-74.653055555556
Puerto Santander,Amazonas,-0.61916666666667,-72.383333333333
Puerto Santander,Norte De Santander,8.3636111111111,-72.4075
Puerto Tejada,Cauca,3.23,-76.4175
Puerto Triunfo,Antioquia,5.8727777777778,-74.639722222222
Puerto Wilches,Santander,7.3483333333333,-73.898333333333
Puli,Cundinamarca,4.6819444444444,-74.714722222222
Pupiales,Nariño,0.87083333333333,-77.640277777778
Purace (Coconuco),Cauca,2.3413888888889,-76.496944444444
Purificacion,Tolima,3.8566666666667,-74.9325
Purisima,Cordoba,9.2363888888889,-75.723611111111
Quebradanegra,Cundinamarca,5.1177777777778,-74.479166666667
Quetame,Cundinamarca,4.3302777777778,-73.862777777778
Quibdo,Choco,5.692277,-76.658192
Quimbaya,Quindio,4.6238888888889,-75.763055555556
