Municipio,Departamento,Participacion,Votos_Totales,Votos_Vacios,Votos_Nulos,Porcentaje_Si,Porcentaje_No,Votos_Si,Votos_No,Capital,Preferencia,IRV,cod_depto,cod_mpio
El Encanto,Amazonas,0.3001,223,0,2,0.7692,0.2307,170,51,0,Si,0.21,91,263
La Chorrera,Amazonas,0.3553,366,1,3,0.8287,0.1712,300,62,0,Si,0.21,91,405
La Pedrera,Amazonas,0.2142,216,1,1,0.8831,0.1168,189,25,0,Si,0.06,91,407
La Victoria,Amazonas,0.2777,5,0,0,0.8,0.2,4,1,0,Si,0.13,91,430
Leticia,Amazonas,0.2598,8990,40,84,0.4966,0.5033,4403,4463,1,No,0.14,91,001
Miriti Parana,Amazonas,0.2012,96,0,0,0.927,0.0729,89,7,0,Si,0.09,91,460
Puerto Alegría,Amazonas,0.2277,59,1,1,0.9122,0.0877,52,5,0,Si,0.23,91,530
Puerto Arica,Amazonas,0.2938,119,0,0,0.8151,0.1848,97,22,0,Si,0.08,91,536
Puerto Nariño,Amazonas,0.267,1153,32,17,0.7518,0.2481,830,274,0,Si,0.07,91,540
Puerto Santander,Amazonas,0.2227,143,0,2,0.8865,0.1134,125,16,0,Si,0.22,91,669
Tarapaca,Amazonas,0.2638,344,7,4,0.7957,0.2042,265,68,0,Si,0.04,91,798
Abejorral,Antioquia,0.2387,3647,194,52,0.381,0.6189,1296,2105,0,No,0.22,05,002
Abriaqui,Antioquia,0.2951,572,14,13,0.3908,0.6091,213,332,0,No,0.08,05,004
Alejandría,Antioquia,0.379,1735,51,22,0.5812,0.4187,966,696,0,Si,0.11,05,021
Amaga,Antioquia,0.2891,6370,53,94,0.3348,0.6651,2084,4139,0,No,0.11,05,030
Amalfi,Antioquia,0.2255,3818,132,72,0.3624,0.6375,1310,2304,0,No,0.49,05,031
Andes,Antioquia,0.2609,9093,78,93,0.3578,0.6421,3193,5729,0,No,0.17,05,034
Angelopolis,Antioquia,0.2798,1589,9,23,0.3551,0.6448,553,1004,0,No,0.10,05,036
Angostura,Antioquia,0.2113,1935,57,84,0.3929,0.607,705,1089,0,No,0.32,05,038
Anori,Antioquia,0.2677,2984,227,40,0.6492,0.3507,1764,953,0,Si,0.96,05,040
Santa fe de Antioquia,Antioquia,0.2784,5495,52,102,0.3821,0.6178,2041,3300,0,No,0.14,05,042
Anza,Antioquia,0.2012,1150,31,16,0.3291,0.6708,363,740,0,No,0.32,05,044
Apartado,Antioquia,0.3134,27961,352,478,0.5232,0.4767,14195,12936,0,Si,0.21,05,045
Arboletes,Antioquia,0.2734,5866,181,57,0.6558,0.3441,3691,1937,0,Si,0.68,05,051
Argelia,Antioquia,0.3116,2065,41,23,0.3248,0.6751,650,1351,0,No,0.17,05,055
Armenia,Antioquia,0.2118,1026,23,26,0.308,0.6919,301,676,0,No,0.16,05,059
Barbosa,Antioquia,0.3484,13430,287,277,0.3264,0.6735,4200,8666,0,No,0.13,05,079
Bello,Antioquia,0.3826,121850,509,1577,0.3643,0.6356,43642,76122,0,No,0.16,05,088
Belmira,Antioquia,0.3363,1617,16,17,0.4337,0.5662,687,897,0,No,0.16,05,086
Betania,Antioquia,0.1921,1609,11,22,0.2956,0.7043,466,1110,0,No,0.18,05,091
Betulia,Antioquia,0.2259,3023,50,49,0.3437,0.6562,1005,1919,0,No,0.85,05,093
Bolivar,Antioquia,0.2345,5636,57,60,0.2978,0.7021,1644,3875,0,No,0.15,05,101
Briceño,Antioquia,0.3368,2078,62,45,0.6935,0.3064,1367,604,0,Si,0.79,05,107
Buritica,Antioquia,0.2058,1406,22,20,0.3475,0.6524,474,890,0,No,0.22,05,113
Caceres,Antioquia,0.2023,4004,57,83,0.6485,0.3514,2506,1358,0,Si,0.08,05,120
Caicedo,Antioquia,0.2626,1600,43,43,0.3916,0.6083,593,921,0,No,0.61,05,125
Caldas,Antioquia,0.4285,25961,123,397,0.3652,0.6347,9292,16149,0,No,0.20,05,129
Campamento,Antioquia,0.2037,1296,32,41,0.5061,0.4938,619,604,0,Si,0.15,05,134
Cañasgordas,Antioquia,0.3644,4884,113,121,0.4109,0.589,1911,2739,0,No,0.06,05,138
Caracoli,Antioquia,0.2469,1199,16,12,0.4935,0.5064,578,593,0,No,0.28,05,142
Caramanta,Antioquia,0.2708,1417,33,26,0.4182,0.5817,568,790,0,No,0.14,05,145
Carepa,Antioquia,0.2829,11733,159,190,0.4679,0.532,5327,6057,0,No,0.40,05,147
Carmen De Viboral,Antioquia,0.5065,16750,163,272,0.3388,0.6611,5528,10787,0,No,0.37,05,148
Carolina,Antioquia,0.2817,1150,22,23,0.4199,0.58,464,641,0,No,0.18,05,150
Caucasia,Antioquia,0.3161,20911,247,368,0.4336,0.5663,8801,11495,0,No,0.16,05,154
Chigorodo,Antioquia,0.2766,12392,138,187,0.5239,0.476,6322,5745,0,Si,0.36,05,172
Cisneros,Antioquia,0.2638,3017,33,63,0.3711,0.6288,1084,1837,0,No,0.11,05,190
Cocorna,Antioquia,0.3751,4864,130,81,0.3539,0.646,1647,3006,0,No,0.09,05,197
Concepcion,Antioquia,0.3522,1553,23,27,0.3805,0.6194,572,931,0,No,0.06,05,206
Concordia,Antioquia,0.1986,3184,55,50,0.3241,0.6758,998,2081,0,No,0.55,05,209
Copacabana,Antioquia,0.4073,25279,323,369,0.3878,0.6121,9535,15052,0,No,0.13,05,212
Dabeiba,Antioquia,0.286,4858,166,99,0.6468,0.3531,2971,1622,0,Si,0.10,05,234
Don Matias,Antioquia,0.3246,5381,41,71,0.2602,0.7397,1371,3898,0,No,0.56,05,237
Ebejico,Antioquia,0.2491,2846,59,32,0.3509,0.649,967,1788,0,No,0.13,05,240
El Bagre,Antioquia,0.2085,7520,141,156,0.4384,0.5615,3167,4056,0,No,0.12,05,250
Entrerrios,Antioquia,0.3368,2680,16,30,0.3295,0.6704,868,1766,0,No,0.06,05,264
Envigado,Antioquia,0.4611,106988,872,1061,0.3598,0.6401,37800,67255,0,No,0.10,05,266
Fredonia,Antioquia,0.2669,4858,27,64,0.3572,0.6427,1703,3064,0,No,0.10,05,282
Frontino,Antioquia,0.2405,4038,68,78,0.5519,0.448,2148,1744,0,Si,0.29,05,284
Giraldo,Antioquia,0.317,1251,11,17,0.5445,0.4554,666,557,0,Si,0.15,05,306
Girardota,Antioquia,0.3598,17135,90,277,0.363,0.6369,6088,10680,0,No,0.10,05,308
Gomez Plata,Antioquia,0.2608,2192,31,61,0.3676,0.6323,772,1328,0,No,0.09,05,310
Granada,Antioquia,0.3534,3630,75,53,0.3946,0.6053,1382,2120,0,No,0.46,05,313
Guadalupe,Antioquia,0.2454,1388,40,47,0.5488,0.4511,714,587,0,Si,0.27,05,315
Guarne,Antioquia,0.4671,14804,116,214,0.2673,0.7326,3870,10604,0,No,0.12,05,318
Guatape,Antioquia,0.4999,3261,26,37,0.3852,0.6147,1232,1966,0,No,0.09,05,321
Heliconia,Antioquia,0.2423,1492,36,29,0.4428,0.5571,632,795,0,No,0.17,05,347
Hispania,Antioquia,0.2188,1142,18,11,0.4123,0.5876,459,654,0,No,0.05,05,353
Itagui,Antioquia,0.393,96563,426,1344,0.3709,0.629,35166,59627,0,No,0.10,05,360
Ituango,Antioquia,0.2388,4157,139,116,0.6934,0.3065,2706,1196,0,Si,0.95,05,361
Jardin,Antioquia,0.3798,4594,46,44,0.3596,0.6403,1620,2884,0,No,0.09,05,364
Jerico,Antioquia,0.3059,3373,36,39,0.2901,0.7098,957,2341,0,No,0.09,05,368
La Ceja,Antioquia,0.5146,22800,171,325,0.301,0.6989,6715,15589,0,No,0.14,05,376
La Estrella,Antioquia,0.3693,18723,88,194,0.3646,0.6353,6725,11716,0,No,0.09,05,380
La Pintada,Antioquia,0.3732,2459,22,31,0.4226,0.5773,1017,1389,0,No,0.18,05,390
La Union,Antioquia,0.4642,7529,60,136,0.3478,0.6521,2551,4782,0,No,0.20,05,400
Liborina,Antioquia,0.2936,2703,56,40,0.3578,0.6421,933,1674,0,No,0.14,05,411
Maceo,Antioquia,0.2543,1899,31,26,0.4218,0.5781,777,1065,0,No,0.24,05,425
Marinilla,Antioquia,0.4653,17767,103,190,0.3136,0.6863,5481,11993,0,No,0.15,05,440
Medellin,Antioquia,0.4606,694784,3309,6754,0.3702,0.6297,253548,431173,1,No,0.19,05,001
Montebello,Antioquia,0.3023,1827,63,35,0.5511,0.4488,953,776,0,Si,0.18,05,467
Murindo,Antioquia,0.4221,1150,19,14,0.9606,0.0393,1073,44,0,Si,0.24,05,475
Mutata,Antioquia,0.2223,3030,119,49,0.645,0.3549,1846,1016,0,Si,0.54,05,480
Nariño,Antioquia,0.2787,2513,70,31,0.3258,0.6741,786,1626,0,No,0.42,05,483
Nechi,Antioquia,0.2108,3834,41,57,0.5184,0.4815,1937,1799,0,Si,0.49,05,495
Necocli,Antioquia,0.23,7475,101,155,0.6038,0.3961,4359,2860,0,Si,0.24,05,490
Olaya,Antioquia,0.2721,740,11,7,0.3781,0.6218,273,449,0,No,0.24,05,501
Peñol,Antioquia,0.3425,5415,63,55,0.3836,0.6163,2032,3265,0,No,0.12,05,541
Peque,Antioquia,0.3828,2331,48,43,0.7285,0.2714,1632,608,0,Si,0.28,05,543
Pueblorrico,Antioquia,0.2512,1787,32,24,0.3425,0.6574,593,1138,0,No,0.07,05,576
Puerto Berrio,Antioquia,0.2648,9028,86,116,0.3149,0.685,2780,6046,0,No,0.34,05,579
Puerto Nare-La Magdalena,Antioquia,0.3256,3974,38,55,0.5877,0.4122,2281,1600,0,Si,0.18,05,585
Puerto Triunfo,Antioquia,0.3005,3902,30,42,0.2629,0.737,1007,2823,0,No,0.19,05,591
Remedios,Antioquia,0.2102,3579,38,126,0.3472,0.6527,1186,2229,0,No,0.49,05,604
Retiro,Antioquia,0.4603,6951,45,58,0.3132,0.6867,2145,4703,0,No,0.08,05,607
Rionegro,Antioquia,0.504,47791,197,637,0.3058,0.6941,14361,32596,0,No,0.13,05,615
Sabanalarga,Antioquia,0.3352,2364,44,41,0.3413,0.6586,778,1501,0,No,0.34,05,628
Sabaneta,Antioquia,0.4559,27182,39,285,0.3706,0.6293,9955,16903,0,No,0.04,05,631
Salgar,Antioquia,0.1834,2474,47,24,0.3254,0.6745,782,1621,0,No,0.25,05,642
San Andres,Antioquia,0.3281,1701,66,65,0.4496,0.5503,706,864,0,No,0.59,05,647
San Carlos,Antioquia,0.3759,5242,60,95,0.4698,0.5301,2390,2697,0,No,0.55,05,649
San Francisco,Antioquia,0.2666,1637,50,26,0.4228,0.5771,660,901,0,No,0.67,05,652
San Jeronimo,Antioquia,0.2917,3475,39,41,0.3711,0.6288,1260,2135,0,No,0.19,05,656
San Jose De La Montaña,Antioquia,0.3261,1032,25,23,0.3689,0.631,363,621,0,No,0.19,05,658
San Juan De Uraba,Antioquia,0.2362,4118,43,33,0.6622,0.3377,2677,1365,0,Si,0.21,05,659
San Luis,Antioquia,0.339,3644,37,36,0.2492,0.7507,890,2681,0,No,0.49,05,660
San Pedro,Antioquia,0.3875,7331,50,106,0.2565,0.7434,1841,5334,0,No,0.13,05,664
San Pedro De Uraba,Antioquia,0.1642,4146,42,62,0.5096,0.4903,2060,1982,0,Si,0.23,05,665
